consulta,origen,destino,dist_dijkstra,saltos_bfs,nodos_dijkstra,nodos_bfs,t_dijkstra_ms,t_bfs_ms
Q01,1,500000,522,101,66991,54085,7.83,1.38
Q02,100,1000000,2381,484,1014698,1009009,140.75,27.18
Q03,50000,750000,2573,545,907013,925200,118.51,25.34
Q04,200000,800000,594,124,85292,88367,10.38,2.29
Q05,300000,100000,3219,666,1054123,1052636,135.56,26.86
Q06,1,1087562,416,95,39051,47898,4.49,1.11
Q07,500000,1,522,101,99810,91558,12.61,2.13
Q08,250000,600000,1534,300,801128,757261,114.64,21.08
Q09,10000,900000,848,169,176522,157211,22.30,4.25
Q10,400000,150000,831,167,371128,352254,52.50,9.93
